firstName,,,Andreas,Céline,Jean-Luc,Matthias,Thomas
lastName,,,Aebi,Amaudruz,Addor,Aebischer,Aeschi
id,,,2670,2796,3055,2760,2758
party,,,UDC,UDC,UDC,PSS,UDC
affairId,affairTitle,timestamp,,,,,
20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24 11:27:26+00:00,No,,,,
20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24 11:33:19+00:00,Yes,,,,
20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24 11:34:37+00:00,No,,,,
20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2010-12-17 10:01:09+00:00,No,,,,
20000436,Prestations complémentaires pour des familles. Modèle tessinois,2011-06-17 09:44:34+00:00,Yes,,,,
20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20 11:51:48+00:00,NT,,,,
20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20 11:52:53+00:00,NT,,,,
20010080,Réforme de la direction de l'Etat,2012-03-14 12:50:01+00:00,No,No,,Yes,No
20010080,Réforme de la direction de l'Etat,2012-03-14 12:51:52+00:00,No,No,,Yes,No
20010080,Réforme de la direction de l'Etat,2012-09-10 15:56:03+00:00,Yes,Yes,,No,Yes
20010080,Réforme de la direction de l'Etat,2012-09-10 15:58:33+00:00,Yes,Yes,,Yes,Yes
20010080,Réforme de la direction de l'Etat,2012-09-12 08:32:11+00:00,No,No,,Yes,No
20010080,Réforme de la direction de l'Etat,2012-09-28 08:54:51+00:00,No,NT,,Yes,No
20010083,Convention alpine. Protocoles de mise en oeuvre,2009-12-11 09:43:38+00:00,Yes,,,,
20010083,Convention alpine. Protocoles de mise en oeuvre,2010-09-29 12:58:01+00:00,Yes,,,,
20010461,Commission fédérale des droits de l'homme,2009-06-12 10:00:15+00:00,No,,,,
20020308,Amnistie fiscale générale,2010-10-01 08:41:43+00:00,NT,,,,
20020308,Amnistie fiscale générale,2012-09-28 08:34:44+00:00,No,NT,,Yes,No
20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10 11:48:10+00:00,NT,,,,
20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10 11:49:03+00:00,NT,,,,
20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18 09:27:59+00:00,NT,,,,
20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18 09:29:17+00:00,Yes,,,,
20020453,La transformation des bâtiments en zone agricole. Une compétence cantonale,2016-06-17 09:00:55+00:00,No,No,No,Yes,No
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 16:46:36+00:00,EH,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 16:54:16+00:00,No,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 17:09:06+00:00,No,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 17:25:22+00:00,No,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 17:29:42+00:00,Yes,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19 17:30:40+00:00,Yes,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-06-02 18:01:15+00:00,No,,,,
20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-06-12 10:23:30+00:00,EH,,,,
20023126,Conditions de travail des chauffeurs de poids-lourds,2011-06-15 10:33:10+00:00,Yes,,,,
20030317,Procédure de naturalisation,2008-03-20 11:01:46+00:00,NT,,,,
20030317,Procédure de naturalisation,2008-03-20 11:03:10+00:00,NT,,,,
20030406,Amnistie fiscale générale,2008-10-03 10:12:09+00:00,No,,,,
20030411,Lever l'interdiction des courses de formule 1,2009-03-05 10:14:46+00:00,Yes,,,,
20030428,Nom et droit de cité des époux. Egalité,2009-03-11 10:55:34+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2009-03-11 10:56:43+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2009-12-10 12:13:26+00:00,Yes,,,,
20030428,Nom et droit de cité des époux. Egalité,2009-12-10 12:15:01+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2009-12-10 12:15:56+00:00,Yes,,,,
20030428,Nom et droit de cité des époux. Egalité,2011-09-28 18:08:27+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2011-09-28 18:09:34+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2011-09-28 18:10:34+00:00,No,,,,
20030428,Nom et droit de cité des époux. Egalité,2011-09-30 10:01:43+00:00,No,,,,
20030436,Pour des campagnes de votation équitables,2009-11-24 09:07:54+00:00,No,,,,
20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10 18:57:28+00:00,Yes,Yes,,Yes,No
20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10 18:59:04+00:00,Yes,Yes,,Yes,Yes
20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10 18:59:56+00:00,Yes,Yes,,Yes,Yes
20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-16 08:40:17+00:00,No,No,,Yes,No
20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-26 08:34:25+00:00,,Yes,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-03-07 12:00:29+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-03-07 12:48:31+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-03-07 15:16:01+00:00,,Yes,,No,Yes
20040439,Loi sur les stupéfiants. Révision,2012-03-07 15:40:23+00:00,,EH,,No,EH
20040439,Loi sur les stupéfiants. Révision,2012-03-07 15:41:19+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-03-07 15:42:30+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-03-07 16:08:05+00:00,,Yes,,No,Yes
20040439,Loi sur les stupéfiants. Révision,2012-03-07 16:23:31+00:00,,Yes,,No,Yes
20040439,Loi sur les stupéfiants. Révision,2012-03-07 16:24:22+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-09-13 08:31:10+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-09-13 08:40:33+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-09-20 11:41:52+00:00,,No,,Yes,No
20040439,Loi sur les stupéfiants. Révision,2012-09-20 11:42:43+00:00,,Yes,,No,Yes
20040439,Loi sur les stupéfiants. Révision,2012-09-28 08:55:39+00:00,,NT,,Yes,No
20040469,Obligation d'exiger un extrait du casier judiciaire des personnes qui travaillent avec les enfants,2014-03-13 12:38:52+00:00,,No,,Yes,No
20040472,Garde de chevaux en zone agricole,2012-09-13 09:31:18+00:00,,Yes,,Yes,Yes
20040472,Garde de chevaux en zone agricole,2012-09-13 09:41:37+00:00,,Yes,,No,Yes
20040472,Garde de chevaux en zone agricole,2012-09-13 09:51:44+00:00,,No,,Yes,No
20040472,Garde de chevaux en zone agricole,2012-09-13 09:52:38+00:00,,Yes,,Yes,Yes
20040472,Garde de chevaux en zone agricole,2013-03-22 08:55:49+00:00,,Yes,,Yes,Yes
20040473,Interdiction d'exercer une profession en rapport avec les enfants pour les auteurs d'actes pédophiles,2014-03-13 12:40:09+00:00,,Yes,,Yes,Yes
20050028,Réforme des chemins de fer 2,2011-12-06 08:14:51+00:00,,Yes,,No,Yes
20050028,Réforme des chemins de fer 2,2012-03-07 09:12:11+00:00,,Yes,,Yes,Yes
20050028,Réforme des chemins de fer 2,2012-03-16 08:54:30+00:00,,Yes,,Yes,Yes
20050445,Juridiction constitutionnelle,2011-12-06 12:24:09+00:00,,No,,Yes,No
20050445,Juridiction constitutionnelle,2011-12-06 12:25:39+00:00,,No,,Yes,No
20050445,Juridiction constitutionnelle,2012-12-03 20:15:41+00:00,,No,,NT,No
20050464,Dépistage du cancer,2016-09-30 08:15:43+00:00,,Yes,Yes,No,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 12:40:05+00:00,,No,,Yes,No
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 16:04:44+00:00,,No,,NT,No
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 16:12:13+00:00,,Yes,,NT,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 16:29:55+00:00,,Yes,,NT,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 16:46:22+00:00,,Yes,,NT,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 16:47:13+00:00,,Yes,,NT,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 17:02:01+00:00,,Yes,,NT,Yes
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 17:09:18+00:00,,No,,NT,No
20060441,Pour une protection du consommateur contre les abus du démarchage téléphonique,2014-09-17 17:10:09+00:00,,No,,NT,No
20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,2016-06-07 12:21:01+00:00,,,Yes,,
20070428,Abroger les dispositions révisées du Code pénal concernant le système des peines,2015-12-01 12:45:32+00:00,,,No,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-13 08:41:45+00:00,,,No,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-13 08:42:50+00:00,,,Yes,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-27 08:23:38+00:00,,,Yes,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-27 08:31:52+00:00,,,No,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-30 08:28:11+00:00,,,No,,
20080432,La Suisse doit reconnaître ses enfants,2016-09-30 08:29:06+00:00,,,No,,
20080512,Abolition des peines pécuniaires et réintroduction des amendes,2015-12-01 12:46:22+00:00,,,No,,
20090318,Modification du droit pénal,2016-03-17 16:38:49+00:00,,,No,,
20090528,Financement moniste des prestations de soins,2019-09-26 09:36:53+00:00,,,EH,,
20090528,Financement moniste des prestations de soins,2019-09-26 09:56:31+00:00,,,Yes,,
20090528,Financement moniste des prestations de soins,2019-09-26 10:17:16+00:00,,,EH,,
20090528,Financement moniste des prestations de soins,2019-09-26 10:18:15+00:00,,,Yes,,
20090528,Financement moniste des prestations de soins,2019-09-26 10:53:31+00:00,,,EH,,
20090528,Financement moniste des prestations de soins,2019-09-26 11:13:51+00:00,,,No,,
20090528,Financement moniste des prestations de soins,2019-09-26 11:14:53+00:00,,,Yes,,
20090528,Financement moniste des prestations de soins,2019-09-26 11:16:03+00:00,,,Yes,,
20090528,Financement moniste des prestations de soins,2019-09-26 11:21:54+00:00,,,EH,,
20090530,Annulation des commandements de payer injustifiés,2016-12-16 08:12:46+00:00,,,No,,
20100322,Pour l'introduction d'un congé rémunéré pour les parents d'enfants gravement malades,2019-06-21 08:21:42+00:00,,,Yes,,
20100323,LAMal. Assurance obligatoire des soins,2016-03-17 16:51:29+00:00,,,Yes,,
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,2016-12-14 11:09:01+00:00,,,EH,,
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,2016-12-14 11:10:20+00:00,,,Yes,,
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,2016-12-14 11:11:25+00:00,,,No,,
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,2016-12-14 11:12:29+00:00,,,EH,,
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,2017-03-17 08:41:03+00:00,,,Yes,,
20100417,Extension des droits des lésés dans la procédure pénale militaire,2016-03-10 08:32:07+00:00,,,Yes,,
20100417,Extension des droits des lésés dans la procédure pénale militaire,2016-06-17 09:12:53+00:00,,,Yes,,
20100426,Importations de viande assaisonnée. Abolition du traitement préférentiel prévu dans le tarif douanier,2015-12-18 08:13:59+00:00,,,Yes,,
20100431,Coma éthylique. Aux personnes en cause de payer les frais des séjours hospitaliers et en cellule de dégrisement!,2015-12-17 11:53:53+00:00,,,No,,
20100519,Modifier l'article 53 CP,2018-09-19 16:13:12+00:00,,,No,,
20100519,Modifier l'article 53 CP,2018-09-19 16:22:51+00:00,,,No,,
20100519,Modifier l'article 53 CP,2018-09-19 16:24:30+00:00,,,No,,
20100519,Modifier l'article 53 CP,2018-09-19 16:25:44+00:00,,,No,,
20100519,Modifier l'article 53 CP,2018-12-14 10:13:12+00:00,,,Yes,,
20103264,Révision de l'article 22 de la Convention de Berne,2019-05-08 17:43:39+00:00,,,No,,
20110404,Création d’une commission indépendante chargée de réaliser l’égalité salariale,2019-09-17 12:43:03+00:00,,,Yes,,
20110418,LAMal. Accorder plus d’autonomie au personnel soignant,2016-04-27 09:50:31+00:00,,,No,,
20110449,Publication des mesures de protection des adultes,2016-09-13 09:54:24+00:00,,,No,,
20110449,Publication des mesures de protection des adultes,2016-09-13 09:55:32+00:00,,,No,,
20110449,Publication des mesures de protection des adultes,2016-09-13 09:56:15+00:00,,,No,,
20110449,Publication des mesures de protection des adultes,2016-12-16 08:13:44+00:00,,,Yes,,
20110489,Abrogation de l’article 293 CP,2017-03-15 11:25:35+00:00,,,Yes,,
20110489,Abrogation de l’article 293 CP,2017-06-16 08:43:28+00:00,,,Yes,,
20113767,Halte aux congés et aux sorties pour les personnes internées,2016-06-14 12:53:14+00:00,,,No,,
20120057,Développement de l’acquis de Schengen. Reprise du règlement portant création d’une agence pour des systèmes d‘information,2016-09-27 09:20:54+00:00,,,No,,
20120057,Développement de l’acquis de Schengen. Reprise du règlement portant création d’une agence pour des systèmes d‘information,2016-09-27 09:22:24+00:00,,,No,,
